,date,change
0,2020-01-21 14:02:00,-4.0
1,2020-01-21 14:07:00,1.0
2,2020-01-23 13:37:00,-4.0
3,2020-01-23 13:38:00,-4.0
4,2020-01-23 13:39:00,8.0
5,2020-01-23 13:40:00,1.0
6,2020-01-23 13:41:00,5.0
7,2020-01-23 13:42:00,9.0
8,2020-01-23 13:45:00,8.0
9,2020-02-03 14:59:00,33.0
10,2020-02-10 10:10:00,1.0
11,2020-02-28 14:52:00,-2.0
12,2020-02-28 14:53:00,-2.0
13,2020-02-28 15:00:00,36.0
14,2020-03-09 11:17:00,15.0
15,2020-03-13 11:30:00,14.0
16,2020-03-13 13:36:00,-1.0
17,2020-03-16 11:16:00,-5.0
18,2020-03-16 11:17:00,-4.0
19,2020-03-16 13:44:00,6.0
20,2020-03-16 15:00:00,2.0
21,2020-03-17 10:14:00,16.0
22,2020-03-17 10:37:00,5.0
23,2020-03-17 10:50:00,3.0
24,2020-03-17 10:51:00,7.0
25,2020-03-17 13:31:00,4.0
26,2020-03-18 13:39:00,1.0
27,2020-03-19 10:07:00,-18.0
28,2020-03-19 10:12:00,-8.0
29,2020-03-19 10:13:00,-2.0
30,2020-03-19 10:14:00,14.0
31,2020-03-19 10:31:00,20.0
32,2020-03-19 10:32:00,14.0
33,2020-03-19 10:35:00,-7.0
34,2020-03-19 10:41:00,15.0
35,2020-03-19 10:55:00,-4.0
36,2020-03-19 11:01:00,11.0
37,2020-03-20 11:21:00,8.0
38,2020-03-20 13:39:00,3.0
39,2020-03-25 10:48:00,0.0
40,2020-03-25 10:49:00,1.0
41,2020-03-26 14:47:00,4.0
42,2020-03-26 14:55:00,-2.0
43,2020-03-26 14:56:00,23.0
44,2020-03-26 14:57:00,26.0
45,2020-03-26 14:58:00,27.0
46,2020-03-26 14:59:00,24.0
47,2020-03-26 15:00:00,29.0
48,2020-03-27 11:07:00,-13.0
49,2020-03-27 11:08:00,-5.0
50,2020-03-27 11:09:00,1.0
51,2020-03-27 11:11:00,3.0
52,2020-03-27 11:20:00,7.0
53,2020-03-30 10:34:00,3.0
54,2020-03-30 13:53:00,6.0
55,2020-04-01 10:00:00,-21.0
56,2020-04-01 10:01:00,1.0
57,2020-04-01 10:02:00,26.0
58,2020-04-01 10:03:00,13.0
59,2020-04-01 10:04:00,-2.0
60,2020-04-01 10:05:00,-2.0
61,2020-04-01 10:38:00,11.0
62,2020-04-01 14:20:00,7.0
63,2020-04-01 14:22:00,5.0
64,2020-04-01 14:44:00,6.0
65,2020-04-01 14:45:00,14.0
66,2020-04-02 14:24:00,4.0
67,2020-04-03 10:37:00,-1.0
68,2020-04-03 14:08:00,3.0
