,Unnamed: 0,Name,所属日期,股票名称,股票代码,50周价格水平,当日涨幅,当月涨幅,调入状态,推荐家数,所属行业,市值,推荐机构,推荐逻辑,流通市值(亿元),date,ticker_1
2348,2348,2021_01_part1.xlsx,2021/1/5,"万华化学
SH600309",SH600309,0.6611,-0.0007,0.228,连续13个月推荐,2,化工,大市值,方正证券,,,2021-01-05,A600309
2349,2349,2021_01_part1.xlsx,2021/1/5,"我武生物
SZ300357",SZ300357,0.4071,-0.038,0.2125,连续2个月推荐,1,医药生物,中市值,方正证券,,,2021-01-05,A300357
2350,2350,2021_01_part1.xlsx,2021/1/5,"三一重工
SH600031",SH600031,0.3094,-0.0067,0.1567,连续11个月推荐,7,机械设备,大市值,方正证券,,,2021-01-05,A600031
2351,2351,2021_01_part1.xlsx,2021/1/5,"中国巨石
SH600176",SH600176,0.4609,-0.0313,0.1288,连续6个月推荐,5,化工,中市值,方正证券,,,2021-01-05,A600176
2352,2352,2021_01_part1.xlsx,2021/1/5,"鸿远电子
SH603267",SH603267,0.6435,-0.0255,0.0491,连续6个月推荐,1,国防军工,小市值,方正证券,,,2021-01-05,A603267
2353,2353,2021_01_part1.xlsx,2021/1/5,"中国中免
SH601888",SH601888,0.6281,-0.0428,0.0409,连续9个月推荐,6,休闲服务,大市值,方正证券,,,2021-01-05,A601888
2354,2354,2021_01_part1.xlsx,2021/1/5,"紫金矿业
SH601899",SH601899,0.6231,-0.0482,0.0334,连续6个月推荐,8,有色金属,大市值,方正证券,,,2021-01-05,A601899
2355,2355,2021_01_part1.xlsx,2021/1/5,"京东方Ａ
SZ000725",SZ000725,0.557,-0.0016,0.03,连续5个月推荐,4,电子,大市值,方正证券,,,2021-01-05,A000725
2356,2356,2021_01_part1.xlsx,2021/1/5,"金博股份
科688598",科688598,0.7682,-0.0113,0.0298,近12个月首推,1,有色金属,小市值,方正证券,,,2021-01-05,A688598
2357,2357,2021_01_part1.xlsx,2021/1/5,"广汽集团
SH601238",SH601238,0.4801,-0.0017,-0.2099,连续3个月推荐,2,汽车,中市值,方正证券,,,2021-01-05,A601238
2358,2358,2021_01_part1.xlsx,2021/1/5,"天齐锂业
SZ002466",SZ002466,0.6843,-0.0906,0.5266,连续2个月推荐,1,有色金属,中市值,光大证券,,,2021-01-05,A002466
